Film,Rating,Year,Budget,Actor.Group1,Actor.Group2,Director,Writer
2176738,7.6,1992,31000000,3,138,7.433333396911621,7.330871195805192
2176793,5.7,2007,4176235,15,17,5.699999809265137,5.699999809265137
2176995,7.3,1981,5500000,1,47,6,7.300000190734863
2177286,6.7,2005,150000000,0,57,7.046153875497671,6.564285727909633
2177337,7.4,1934,100000,0,23,7.400000095367432,7.3166667222976685
2177344,7,1944,75000,0,14,7,6.9666666984558105
2177467,7.1,2007,75000000,12,85,6.777777777777778,7.133333285649618
2177475,5.5,2000,92000000,42,28,6.059999942779541,5.59238097478473
2177476,4.8,2003,120000000,42,25,6.059999942779541,5.534285772414435
2177831,5.4,2013,6491200,6,5,5.400000095367432,5.335000085830688
2177865,7.4,1997,250000,0,31,6.71428564616612,6.883333285649617
2177939,5.5,2005,2000000,43,9,5.274999976158142,5.049999978807237
2177978,6.1,2004,23000000,2,33,5.599999904632568,6.099999904632568
2177986,7.1,2012,20000000,6,51,6.400000041723251,7.049999952316284
2178229,6.6,2008,12720400,2,12,6.599999904632568,6.599999904632568
2178514,6.2,2011,6938400,0,15,6.299999952316284,6.299999952316284
2178585,6.9,2008,40000000,1,64,6.705263137817383,6.900000095367432
2178622,6.9,2013,200000,4,15,6.900000095367432,6.800000071525574
2178642,5.8,2003,40000000,30,14,6.125000059604645,5.623333430290223
2178643,5.4,2005,60000000,38,8,5.9666666984558105,5.660000109672547
2179519,5,2008,3782375,32,2,5,5
2179840,6.8,2002,1500000,4,29,6.800000190734863,6.800000190734863
2179863,5.9,2009,15000000,55,7,5.900000095367432,5.958333412806193
2180458,7.4,2008,89171845.344,0,43,6.7428571837288995,7.123333342870078
2180490,6.6,1972,1000000,0,15,6.599999904632568,6.599999904632568
2180720,7.2,2002,45000000,10,91,6.800000031789144,7.081249833106995
2181017,5.8,2005,150000000,16,29,6.666666825612386,6.20492431972966
2181140,7.2,2010,10638880,0,27,7.1499998569488525,7.199999809265137
2181784,6.5,1988,9000000,5,20,6.799999952316284,5.975000015894572
2181800,5.6,1990,13000000,8,12,5.299999952316284,5.575000047683716
2181801,4.9,1991,13000000,23,10,4.900000095367432,5.575000047683716
2181999,7.9,2006,76000000,1,68,7.5,7.861111190583972
2182039,5.6,1984,800000,10,6,5.599999904632568,5.938888850035491
2182042,4.1,1992,900000,36,2,4.099999904632568,4.825925868234517
2182310,5.2,1999,70000000,19,14,5.199999809265137,5.199999809265137
2182661,8.3,1974,6000000,0,37,7.290000057220459,6.946825470243182
2182809,7.6,1976,650454.2,0,10,7.330769208761362,7.330769208761362
2183188,6.9,1968,10000000,1,47,6.049999952316284,6.856410287588071
2183264,6.3,2009,11000000,5,24,6.628571442195347,6.400000015894571
2183401,7.3,2000,25000000,0,29,7.300000071525574,7.000000143051148
2183718,6.5,2008,3000000,3,43,6.5,7.1249998807907104
2183921,6.9,1984,700000,2,21,5.924999952316284,6.024999976158142
2184503,7.6,1981,2365288,0,16,6.433333396911621,7.199999928474426
2184561,6.6,1983,9700000,1,21,6.607692278348482,6.438888850035491
2184660,5.6,2001,12000000,26,7,5.5,6.0969696478410205
2184942,7.5,1989,27000000,3,24,6.599999904632568,5.754545471884987
2184971,5.1,2004,60000000,32,11,5.266666571299235,6.2799999713897705
2185031,4.4,1992,40000000,24,7,6.233333349227905,6.051389005449082
2185107,6.1,2005,10000000,3,40,6.450000047683716,6.099999904632568
2185132,7.1,2012,12000000,2,31,7.099999904632568,7.099999904632568
2185293,5.5,2007,12000000,14,9,5.5,5.987500011920929
2186147,6.2,2009,23000000,2,18,6.899999959128244,6.566666603088379
2186497,8.7,2002,3300000,0,116,8.149999856948853,8.383333285649616
2186723,5.2,2011,2098398.5,36,12,5.199999809265137,5.199999809265137
2186758,6,1931,1433000,0,51,6.549999952316284,6.599999984105428
2186883,7.3,1950,2900000,0,20,7.425000063578288,7.322222322887844
2186960,5.9,1960,3000000,12,7,6.299999952316284,5.766666730244954
2188022,6,2009,40000000,13,43,6.014285700661795,6.166666671557304
2188216,8.4,1941,686033,0,194,8.099999904632568,8.149999780654907
2188238,7,1996,3000000,4,50,7.416666746139526,7.066666682561239
2188261,6.5,2000,500000,13,210,5.974999904632568,6.397222209859778
2188325,6.1,2008,346920,0,23,6.099999904632568,6.099999904632568
2188361,6.2,2002,60000000,4,26,6.25,6.199999809265137
2188394,5.4,1984,25000000,22,28,4.939999914169311,5.945833370089531
2188412,7.4,2009,6000000,0,32,7.400000095367432,6.299999952316284
2188425,8.6,1931,1500000,0,37,8.07142870766776,8.404166956742605
2188447,6.7,1998,55000000,7,37,6.266666730244954,6.644999877611796
2188492,6.5,2008,55000000,2,32,6.5,6.900000015894571
2188500,6,2002,17500000,3,40,6,6.412500023841858
2188513,7.4,1991,3000000,0,43,7.075000047683716,6.621052666714317
2188518,6.2,1997,8000000,8,29,6.166666507720947,6.199999809265137
2188519,6.3,1992,27000000,1,41,5.857142857142857,5.950000166893005
2188639,5.4,1994,40000000,9,12,5.300000011920929,5.731481472651164
2188798,6.3,2006,3400000,4,14,6.300000190734863,6.300000190734863
2189364,5.8,2010,125000000,26,38,6.46666685740153,5.937500059604645
2189433,6.6,1982,4300000,0,25,6.224999904632568,6.2499999642372135
2189434,5.7,1990,5200000,13,10,6.224999904632568,5.766666571299235
2189961,7.2,1993,68000,1,30,7.199999809265137,7.199999809265137
2189975,6.1,2007,25000000,24,29,5.772727186029607,6.099999904632568
2190036,6.3,2012,3025900,7,48,6.300000190734863,6.300000190734863
2190173,7,1963,44000000,3,60,7.188888920678033,7.120723694562912
2190228,7.9,1994,200000,1,37,6.71428564616612,6.883333285649617
2190665,6.9,1995,25000000,5,61,6.692307655627911,6.508928579943521
2191024,7.3,2004,27000000,0,18,6.777777777777778,7.400000095367432
2191120,6.6,2007,23500000,5,37,7.433333396911621,6.849999904632568
2191337,7.1,2008,25000000,8,43,7.549999952316284,7.066666603088379
2191531,5.6,2004,8550000,21,5,5.849999904632568,6.133333206176758
2191665,6.9,2008,3025900,0,36,6.900000095367432,6.900000095367432
2191694,7.4,1985,15000000,1,14,6.6333333651224775,7.040000089009602
2191707,6.7,1995,12000000,8,30,6.03333322207133,5.699999928474426
2192075,7.2,2005,30000000,13,97,6.424999952316284,7.019999885559082
2192661,6.7,2009,22468852,1,22,6.449999809265137,6.5999998516506615
2192715,5.2,1988,17500000,38,10,6.699999809265137,5.199999809265137
2192798,6.3,2003,7500000,4,27,6.266666650772095,6.6333333651224775
2193225,6.5,2006,200000,6,24,6.5,6.5
2193274,6.6,2013,2000000,2,21,6.599999904632568,5.549999952316284
2193318,6.9,1973,500000,2,28,6.600000023841858,6.524999976158142
2193736,7.2,2003,79000000,3,40,7.300000031789144,7.074999928474426
2194074,5.4,2002,85000000,25,26,6.414285796029227,5.600000063578288
2194164,4.6,2008,6500000,37,6,4.599999904632568,4.599999904632568
2194469,6.4,2011,40000000,6,37,6.233333428700765,6.468279532206956
2194684,5,1994,40000000,4,9,6.150000095367432,6.161904755092802
2194820,6.7,1988,6000000,4,53,7.099999904632568,6.649999916553497
2195103,5.5,2008,7000000,13,12,5.5,5.5
2195309,6.4,1984,40000,0,35,6.6000001430511475,6.6000001430511475
2195345,5.7,2005,11564000,4,7,5.699999809265137,5.699999809265137
2195444,7.6,1982,850000,0,12,6.669230717879075,7.599999904632568
2196310,7.4,1978,3000000,1,116,7.750000238418579,7.1416667600472765
2196471,6.9,1988,39000000,10,63,6.190909125588157,5.6194445557064485
2196553,7.3,1948,3700000,1,59,7.660000038146973,7.316666762034099
2196562,5.7,2009,6000000,34,6,5.299999872843425,5.699999809265137
2196604,5.6,1997,5000000,8,16,5.599999904632568,6.549999952316284
2196606,6.6,1985,10000000,6,24,6.224999904632568,5.153333290417989
2196968,5.2,2000,3000000,14,10,5.199999809265137,5.199999809265137
2197448,8.1,2002,1135960,1,28,7.950000286102295,7.150000095367432
2197474,5.4,2000,16000000,19,15,5.616666793823242,6.066666762034098
2197951,6.8,1997,75000000,10,57,6.057142802647182,6.333333412806193
2198180,6.9,1982,20000000,1,23,6.8750001192092896,6.6155844632681315
2198181,5.2,2011,70000000,57,7,5.299999952316284,5.416666587193807
2198183,5.8,1984,18000000,5,9,6.816666682561238,5.808333436648051
2198960,7.1,2002,29000000,15,73,6.899999936421712,7.389999914169311
2199032,7.2,2007,250000,0,25,7.199999809265137,
2199109,6.7,2003,15000000,4,25,6.549999952316284,6.699999809265137
2199568,6.2,2004,20000000,11,29,5.266666571299235,5.849999904632568
2199647,6,1972,1700000,2,17,6.300000011920929,6.366666674613953
2199778,5.7,1992,18000000,25,19,6.466666539510091,5.766666571299235
2199909,4.6,2008,8000000,39,7,4.599999904632568,4.700000047683716
2199931,6.7,1997,75000000,4,83,6.811111079321967,6.600000014671912
2199973,6.9,2005,100000000,4,45,7.300000031789144,6.725000103314717
2200139,7.4,1997,90000000,4,97,7.160000038146973,7.144642893757139
2200206,6.7,2011,60000000,12,145,6.705263137817383,6.8999998569488525
2200577,4.6,2008,1000000,22,0,4.599999904632568,4.599999904632568
2200689,6.6,2007,8788640,1,30,6.599999904632568,6.7499998807907104
2200723,6.3,2004,6800000,4,19,6.300000190734863,6.300000190734863
2200729,7.8,2007,5203800,0,30,7.800000190734863,7.800000190734863
2201016,7.1,2005,450000,4,14,7.099999904632568,7.099999904632568
2201098,7.2,2010,12500000,7,51,6.6499998569488525,7.199999809265137
2201225,6.9,1999,8500000,1,30,6.669230717879075,5.75
2201336,2.8,1991,6000000,20,2,3.4499999284744263,2.799999952316284
2201392,6.9,1993,15000000,5,27,6.300000031789144,6.483333349227905
2201420,7.3,1975,750000,1,30,6.950000047683716,6.3500001430511475
2201511,6.9,1997,10000000,3,49,7.11428587777274,7.1000001430511475
2201518,5.7,2010,37000000,21,27,6.71428564616612,5.699999809265137
2201623,7.2,2010,8094800,0,8,7.199999809265137,7.199999809265137
2201774,6.5,1995,20000000,15,44,6.5,6.683333317438761
2201781,6.8,2006,11000000,0,13,6.800000190734863,6.887499988079071
2201848,7.7,2009,60000000,1,16,6.366666475931804,7.599999904632568
2202109,4.6,2001,11000000,28,15,4.599999904632568,4.599999904632568
2202280,4.5,2003,4700000,23,4,4.5,4.5
2202475,7.4,2005,40000000,0,14,7.223076985432551,7.170714349973769
2203244,4.4,2001,1734600,23,2,4.25,4.400000095367432
2203539,4.2,2007,2500000,51,8,4.199999809265137,4.199999809265137
2203588,5.1,2011,1000000,24,4,5.099999904632568,5.099999904632568
2204096,6,2004,12000000,9,80,6.214285748345511,6.266666650772095
2204110,6.3,2010,15000000,7,98,6.433333396911621,6.433333396911621
2204298,5.5,2009,60000000,49,21,5.5,5.916666666666667
2204399,6.6,1996,46000000,2,44,7.083333253860474,6.799999952316284
2204403,7,2011,2000000,0,95,6.8666666348775225,6.8666666348775225
2204606,6.2,1989,13000000,8,40,6.563636346296831,6.199999809265137
2204989,7,2003,2000000,1,49,7,7
2205169,5.6,2000,45000000,64,24,5.599999904632568,5.699999968210856
2205220,6.4,2001,7000000,8,37,6.400000095367432,7.1333333651224775
2205491,6.9,1999,32000000,7,98,7.25,7.25
2205596,7,2006,12000000,5,38,5.825000047683716,5.919999980926514
2205601,6.2,2009,20000000,20,72,5.825000047683716,5.919999980926514
2205639,7.9,2004,6500000,5,39,7.900000095367432,7.730000066757202
2206059,6.3,1999,15000000,4,52,6.300000190734863,6.300000190734863
2206201,7.5,2011,50000000,6,66,7.099999904632568,6.780000019073486
2206203,6.5,2001,14000000,5,34,5.6000001430511475,5.75
2206483,6.8,2009,15129500,1,17,6.5,6.653333473205566
2206563,3.7,2011,3000000,12,3,3.700000047683716,3.700000047683716
2206744,6.8,1982,8000000,2,28,6.25,6.277777795438413
2206746,5.9,1987,3500000,10,13,5.900000095367432,6.028490058830094
2207261,7.1,2004,5492900,1,40,6.762499988079071,6.837499976158142
2207322,5.8,1985,3000000,15,14,6.750000047683716,7.111309525512514
2207504,7.3,1995,53000000,2,41,6.8181819482283155,6.950000107288361
2207721,6,1997,12000000,5,17,7.5857142720903665,5.924999952316284
2207725,5,1987,14000000,36,13,6.199999988079071,5
2207850,3.6,2002,2200000,16,3,3.8999999364217124,4.739999930063884
2207857,6.5,1986,7242840,6,30,6.400000095367432,6.175000031789144
2207858,4.8,2001,21150000,46,10,5.575000166893005,5.041666825612386
2207953,6.8,1993,2000000,0,16,7.025000035762787,7.011111153496636
2208155,7.5,1977,6000000,1,24,7.416666666666667,7.637500047683716
2208247,6.5,1977,8000000,4,26,6.816666682561238,6.512499988079071
2208478,2,2006,5600000,25,2,4.049999952316284,4.433333237965901
2208510,3.2,2002,12000000,23,4,5.099999984105428,3.200000047683716
2208818,6.9,1999,10500000,7,16,5.950000047683716,7.100000023841858
2208845,3.9,2005,2000000,20,1,3.9000000953674316,3.9000000953674316
2209034,4.6,2009,1500000,40,0,4.674999952316284,4.75
2209242,7.5,1987,29000000,0,85,7.433333396911621,7.083333412806192
2209315,6.5,1990,11000000,5,47,6.488888846503364,6.488888846503364
2209461,5.9,2005,1000000,19,14,6.299999952316284,6.100000023841858
2209583,6.7,2005,1100000,2,44,7.049999952316284,6.933333237965901
2209737,4.7,2007,750000,41,1,4.699999809265137,4.933333190282186
2210188,7.4,1997,304865.155,0,7,6.8750001192092896,7.222222328186035
2210196,5.7,2004,1002296.4,12,5,5.833333174387614,5.699999809265137
2210600,5.9,1983,5000000,6,8,6,6.025925995391092
2211433,6.5,2005,6938400,0,26,6.599999904632568,6.71666661898295
2211720,5.9,1996,2309723,11,6,5.900000095367432,6.4037037778783725
2211722,7.5,1997,8518,0,32,7.549999952316284,6.599999904632568
2212051,6,1994,12577385,4,15,6,6.962500035762787
2212074,4.9,2005,35000000,26,12,6.116666674613953,5.849999904632568
2212514,6.9,1981,3000000,4,25,6.450000047683716,6.900000095367432
2212518,5.6,1995,98000000,14,14,5.772727186029607,6.208333293596904
2212790,5,1989,500000,22,3,4.659999942779541,5
2213046,6.9,2002,7500000,1,29,6.8750001192092896,6.900000095367432
2213078,7.6,1950,400000,0,17,7.599999904632568,7.357142811729794
2213841,5.2,2002,55000000,14,13,5.199999809265137,5.599999904632568
2213844,3.6,2007,70000000,41,6,3.0999999046325684,3.0999999046325684
2213896,5.2,2004,3500000,14,8,4.949999809265137,5.199999809265137
2214025,7,2010,25000000,0,41,7,6.899999936421712
2214521,6.3,2010,9370000,5,28,6.300000190734863,5.9750001430511475
2214522,5,2012,7302600,13,4,5,5.650000095367432
2214589,6.1,1989,19000000,12,32,6,6.350000023841858
2214773,5.6,2001,4000000,15,15,6.50000015894572,6.800000031789144
2214792,2.8,2007,6000000,30,0,2.799999952316284,5.249206393105643
2214956,5.2,2007,10000000,48,10,4.4999998807907104,4.642857040677752
2215822,6,1999,3869460,5,34,6.599999904632568,5.993333307902018
2215877,6.6,2008,150000,2,17,6.599999904632568,6.599999904632568
2216204,8,2013,5000000,4,65,7.566666762034099,8
2216262,5.2,2005,3000000,18,9,5.199999809265137,5.199999809265137
2216565,6.2,1978,6800000,3,26,6.099999904632568,5.9611110422346325
2216793,6.8,2007,25000000,2,33,6.950000047683716,6.5000001192092896
2217034,3.5,2009,25000000,163,7,3.5,4.64999992052714
2217164,7.3,1967,2000000,0,12,7.290000057220459,6.880158761190989
2217310,8,2000,12800000,0,58,7.285714217594692,7.285714217594692
2218088,7.7,1988,14000000,0,19,6.899999959128244,6.941666603088379
2218407,5.7,2006,5000000,21,8,5.699999809265137,5.699999809265137
2219066,4.9,2008,9251200,5,8,6.299999952316284,5.366666714350383
2219478,5.4,2003,78000000,49,20,6.150000095367432,5.516666730244954
2219629,5.9,1990,7000000,17,18,5.600000063578288,5.900000095367432
2219707,7.8,1998,27000000,2,47,7.5,7.043703796245434
2219717,6.9,1940,1000000,0,52,7.520000076293945,7.1200000921885165
2219732,5.4,2009,4000000,7,2,5.400000095367432,6.574999928474426
2219824,4.5,2008,4972520,106,3,4.5,4.6761904671078645
2219977,4.8,2007,1000000,22,1,4.800000190734863,4.800000190734863
2220146,6.3,2012,150000000,2,73,7.046153875497671,6.259523913973854
2220202,6.3,2013,3500000,1,24,5.699999968210856,5.700000047683716
2220216,6.6,1974,60000,0,8,6.607692278348482,6.078205128816458
2220253,4.3,2012,25000000,10,3,5.6000001430511475,4.300000190734863
2220260,4.8,2013,3156442.3688,15,1,4.800000190734863,4.800000190734863
2220293,5.5,2005,30000000,10,13,6.9666666984558105,6.0083333651224775
2220412,6.4,1990,16000000,4,28,6.750000047683716,6.372500050067901
2220423,5.4,2002,10600000,14,8,6.459999942779541,6.062222252951727
2220445,4.9,2003,11000000,19,4,5.50000015894572,5.39841271960546
2220541,7.2,1965,605180,0,35,6.474999904632568,7.255555417802598
2220573,6.2,1970,25000000,1,45,6.266666650772095,6.22916659216086
2220967,8.5,1981,14000000,1,33,6.883333285649617,8.5
2221000,8.1,1920,18000,0,11,8.100000381469727,8.100000381469727
2221226,7.4,2014,7343140,0,17,6.400000095367432,7.066666762034099
2221833,6.9,1959,11826440,0,13,7.200000047683716,6.900000095367432
2222065,8.5,2006,2000000,0,31,7.25,7.25
2222137,6.9,2010,2659720,0,31,6.900000095367432,6.900000095367432
2222684,6.7,1977,7095864,0,39,7.5,7.5
2223349,7.8,2009,13876800,0,75,7.3500001430511475,7.3500001430511475
2223409,6.9,2003,8441720,0,86,6.799999952316284,6.850000023841858
2223490,7.1,2008,9736800,8,25,6.266666571299235,7.099999904632568
2223671,2.7,2006,20000000,43,2,2.7166666388511658,3.644444372918871
2223677,6.3,2010,55000000,8,50,6.125000059604645,6.3500001430511475
2224179,6.2,2013,8114000,2,29,6.199999809265137,6.199999809265137
2224647,7.4,2004,26000000,2,35,7.600000063578288,6.126068386257204
2224664,8,2014,170000000,2,70,7.549999952316284,6.478571389402662
2224921,5.4,1977,1200000,10,6,5.25,5.400000095367432
2224933,7.2,1985,3500000,1,64,6.25,5.907692285684439
2224934,4.5,2008,18000000,23,6,5.449999928474426,5.6788461070794325
2224982,5.6,1978,650000,11,0,5.599999904632568,5.950000047683716
2224988,5.6,2005,12000000,23,14,5.599999904632568,5.599999904632568
2225048,6,2007,2000000,3,44,6,5
2225096,6.5,2009,20000000,8,45,6.049999952316284,6.049999952316284
2225148,7.4,2000,10000,0,13,7.400000095367432,7.400000095367432
2225157,5.8,1996,80000000,20,23,5.960000038146973,5.425000071525574
2225255,8,1978,3000000,0,16,7.433333237965901,7.433333237965901
2225287,5.8,1990,60000000,17,18,6.8181819482283155,6.261111259460449
2225596,7.3,2005,6128920,0,19,7.500000095367431,6.844444558355543
2225614,6.4,2011,3353560,3,22,6.400000095367432,6.666666666666666
2225797,4.8,2009,16228,13,5,4.3500001430511475,4.800000190734863
2225998,6.7,2010,2081520,0,23,6.699999809265137,6.699999809265137
2226387,6.9,2009,3180100,0,6,6.6000001430511475,6.6000001430511475
2226809,6.7,2003,1850240,0,21,6.699999809265137,6.699999809265137
2226990,7.5,2012,17808560,0,22,7.500000095367431,7.566666714350383
2227133,6.1,2009,7285320,2,39,6.1499998569488525,6.099999904632568
2227472,7.4,2003,2891000,0,26,7.400000095367432,7.400000095367432
2227543,6.6,2004,20000000,3,51,6.599999904632568,7.099999904632568
2227574,6.6,1981,3000000,2,17,6.599999904632568,6.387499962250391
2227659,5.7,2004,1500000,19,8,5.049999952316284,5.049999952316284
2227789,7.6,1937,300000,0,41,7.762499988079071,7.649999976158142
2227881,5.3,2005,15000000,11,13,5.300000190734863,5.300000190734863
2227943,6,1988,5000000,11,22,6,6
2228062,7.8,1995,9000000,0,20,7.524999976158142,7.524999976158142
2228072,6,1998,14000000,9,39,6,6.074999976158142
2228077,6,2009,5000000,8,12,6,6
2228082,7.6,1995,11000000,1,50,7.25,7.424999952316284
2228123,7.8,2004,1052094.83935,2,20,7.200000047683716,7.483333455191718
2228198,6.9,1972,235000,2,14,6.416666666666667,6.75
2228261,6.9,1999,4259,0,16,6.842857156481061,6.700000047683716
2228277,8,1989,16400000,1,48,7.474999964237213,6.425000071525574
2228321,7.4,1964,1200000,0,21,7.400000095367432,6.766666690508525
2228393,6.2,2007,20000000,2,14,6.8199999809265135,6.679166535536448
2228593,6.3,2012,12000000,4,25,5.6333333651224775,6.300000190734863
2228769,5.5,1981,2500000,12,6,6.116666674613953,5.616666661368476
2228867,5.2,2010,6000000,21,9,5.449999809265137,5.199999809265137
2229055,4,2008,1000000,14,2,4,4.549999952316284
2229371,5.2,1996,22000000,63,28,5.862500011920929,5.416666587193808
2229415,6.3,2010,25000000,5,51,7.300000071525574,6.683333357175192
2229700,7.3,1994,12000000,0,9,7.290000057220459,6.8500001430511475
2229717,7.4,2007,9000000,0,14,6.600000023841858,6.300000031789144
2229741,4.6,1977,30000,9,2,4.599999904632568,4.599999904632568
2230116,7,2011,4394320,1,32,7,7
2230243,6.4,2008,45000000,8,25,5.9666666984558105,6.097500022252401
2230303,6.8,2007,20000000,8,22,6.8199999809265135,6.500000143051148
2230344,6.4,2002,55000000,13,43,6.360000038146973,5.700000047683716
2230389,2.7,2004,750000,58,0,2.700000047683716,2.700000047683716
2230412,7,1974,3000000,2,36,6.233333428700765,6.65
2230417,5.8,1985,9000000,19,21,6.233333428700765,5.825000071525574
2230419,5.9,1982,2000000,27,18,6.233333428700765,5.950000071525574
2230954,6.7,2007,4000000,0,21,6.699999809265137,6.0222221215566
2231002,6,2008,25000000,9,55,6,6.414285796029227
2231172,6.4,2013,2000000,3,30,6.400000095367432,6.400000095367432
2231218,7.4,1997,20000000,1,75,7.158064519205401,7.096874997019768
2231258,4.6,2004,5000000,37,3,4.599999904632568,4.599999904632568
2231423,7.5,2003,5000000,0,4,7.625,7.5
2231428,5.7,1999,78000000,11,9,5.772727186029607,5.744444317287869
2231516,6.1,1998,75000000,16,51,6,6.209999990463257
2231786,5.2,1972,25000,5,4,5.199999809265137,5.199999809265137
2232161,6.9,2009,3500000,1,21,6.900000095367432,6.900000095367432
2232192,7.2,2008,32000000,1,60,7.083333253860474,7.12499984105428
2232493,7,2006,75000000,12,69,6.8181819482283155,6.8450000286102295
2232855,6.6,2001,2000000,0,11,6.3999998569488525,6.3999998569488525
2232887,7.7,1991,4231728,0,20,6.858333269755045,7.213333209355672
2233012,6.5,2006,5000000,5,39,6.600000063578288,6.600000063578288
2233106,6.3,2014,30000000,6,32,6.325000047683716,6.066250115633011
2233113,7.8,1972,2000000,2,13,6.214285748345511,6.825000137090683
2233214,6.4,2013,26000000,5,97,6.400000095367432,6.7166666984558105
2233232,7.3,1994,4000000,1,19,6.75,7.066666762034098
2233282,6.6,2008,1734600,0,9,6.599999904632568,6.599999904632568
2233539,5.7,1963,30000,5,5,6.92941177592558,6.809166673819224
2233561,6.6,1954,4500000,1,38,6.8999998569488525,6.949999988079071
2233685,6.6,1993,57000000,11,38,5.8999998569488525,6.211111015743679
2233832,5.8,2002,8131804.8,28,13,6.6000001430511475,6.6000001430511475
2233956,7.4,2006,1851738,0,27,6.8500001430511475,7.400000095367432
2234377,6.4,2008,2579206.5,0,17,6.400000095367432,6.783333381017049
2234381,6.6,2012,6360200,1,22,6.8999998569488525,6.814999961853028
2234508,6.3,2003,4200632,1,36,6.300000190734863,6.300000190734863
2235302,6.7,1970,165570.16,0,12,7.330769208761362,7.330769208761362
2235441,7.4,2008,23128000,1,132,6.433333396911621,7.450000047683716
2237334,7.5,2009,4625600,0,21,7.549999952316284,7.549999952316284
2238076,7.8,1986,17917170,1,44,7.266666650772095,7.132444507810805
2238511,6.3,2008,20815200,1,45,6.300000190734863,6.300000190734863
2238564,6.8,2010,1156400,0,29,6.800000190734863,6.800000190734863
2238623,6.9,1962,1714833.8,0,21,6.900000095367432,6.900000095367432
2239923,6.1,2004,5435080,5,35,6.099999904632568,6.119999945163727
2240086,6.6,1974,200000,0,10,6.599999904632568,6.75
2240354,8.2,1975,4000000,0,26,8.039999961853027,8.036666552225748
2240978,6.2,1998,2000000,3,18,6.399999936421712,6.8999998569488525
2241029,7,1985,1250000,2,21,7,7
2241655,7.2,1995,7000000,2,21,6.48571423121861,6.216666539510091
2241769,7.2,1977,65000,0,35,6.488888846503364,6.488888846503364
2241906,7.7,2010,69000000,1,27,7.416666587193808,7.117777707841661
2241908,7.5,2013,76000000,0,30,7.416666587193808,6.826666657129923
2241960,7.3,2012,1387680,2,53,7.300000190734863,7.300000190734863
2242047,2.6,2008,1000000,16,0,2.5999999046325684,2.5999999046325684
2242190,8,2003,1500000,1,1,8,8
2242901,4.2,2003,4176235,22,3,5.1499998569488525,4.8999998569488525
2242912,5.8,2011,10000000,54,18,4.8500001430511475,5.800000190734863
2242925,4.5,2012,500000,17,2,4.5,4.5
2242953,6.5,1999,800000,4,24,6.650000095367432,6.650000095367432
2243003,7.5,1945,30000,0,9,5.666666746139526,7.575000047683716
2243086,6.8,1999,15000000,3,55,6.800000190734863,6.800000190734863
2243162,4.6,2005,22000000,63,9,4.599999904632568,4.849999934434891
2243163,5.7,1999,17000000,25,9,6.099999904632568,5.099999964237213
2243170,5.6,2002,10000000,31,20,5.599999904632568,5.599999904632568
2243235,7.6,2008,2814244.959,0,36,7.3999998569488525,6.899999936421712
2243384,7.1,2004,68990824,1,34,7.266666650772095,7.027777711550395
2243402,7.6,2014,8094800,0,39,7.599999904632568,7.599999904632568
2243467,8.1,2009,973680,0,38,8.350000381469727,7.337500172001975
2243573,7.6,2002,8114000,1,30,7.599999904632568,7.683333317438762
2243693,6.3,2010,10000000,3,23,6.150000095367432,6.318749984105429
2243721,3.8,1964,37823.75,16,1,3.799999952316284,4.322222153345744
2243736,6.7,1995,27000000,3,29,6.649999976158142,6.699999809265137
2243845,4,2014,7000000,48,11,4,4
2243867,5.9,2013,15000000,47,42,6.628571442195347,5.8550000588099165
2243897,5.2,2010,2400000,232,7,5.199999809265137,5.199999809265137
2243901,5.5,2003,5000000,3,2,5.5,5.5
2244319,4.7,2007,2596480,17,7,4.699999809265137,6.03333332425072
2244491,7.2,2010,1655256,0,43,7.199999809265137,7.199999809265137
2244511,6.7,2004,3245600,1,11,6.449999809265137,6.566666603088379
2244516,6.2,2006,5679800,1,14,6.449999809265137,6.683333264456855
2244665,6.6,2010,13000000,0,24,5.639999961853027,6.674999965561761
2244822,6.5,1968,400000,0,24,6.699999968210856,6.442857151939756
2244944,8.2,1954,1400000,0,15,7.529411764705882,8.049999952316284
2245247,6.7,1971,7200000,1,42,6.950000047683716,6.8885470374017705
2245526,5.5,2005,5500000,37,9,5.5,4.642857040677752
2245593,6.4,2012,22000000,10,41,6.5,6.399999989403618
2245771,6.2,1999,13000000,10,29,6.174999952316284,6.1874998807907104
2245881,6.1,1990,46000000,8,50,6.450000047683716,5.5111111005147295
2246026,4.7,2009,58000000,50,23,4.699999809265137,5.2399999618530275
2246324,6.1,2002,142000000,7,42,6.424999952316284,6.820634947882758
2246586,7.6,1972,192179.65,0,6,7.330769208761362,7.330769208761362
2246938,7,1979,473057.6,0,16,7.330769208761362,7.330769208761362
2247921,7.8,1974,42575.184,0,2,7.600000063578288,7.600000063578288
2248063,8.3,1988,28000000,5,46,6.6333333651224775,6.678333385785421
2248068,7.1,1990,70000000,8,61,5.772727186029607,6.442222221692403
2248078,7.6,1995,90000000,8,64,6.6333333651224775,6.922500050067901
2248314,7.1,2000,3000000,0,16,7.099999904632568,7.099999904632568
2249358,5.7,2004,4047400,39,5,5.699999809265137,6.199999809265137
2249700,6.7,2009,25440800,1,54,6.799999952316284,6.8249998688697815
2250239,7.8,1982,1537437.2,0,25,7.330769208761362,7.643589863410362
2251104,5.8,2012,11564000,44,8,5.800000190734863,5.800000190734863
2251333,6.5,2005,8094800,0,23,6.5,6.590000009536743
2251950,7.8,2005,1965880,0,26,7.800000190734863,7.800000190734863
